Sp_Class,u_mag,g_mag,r_mag,i_mag,z_mag,RA,Dec
DA+M,19.046,18.325,17.714,16.635,15.919,13.035.096,-859.638
DA+M,19.046,18.325,17.714,16.635,15.919,13.035.096,-859.638
DA+M,19.046,18.325,17.714,16.635,15.919,13.035.096,-859.638
DB:,20.239,20.318,20.449,20.562,22.174,13.133.562,13.821.388
DA+M,20.471,19.859,19.146,17.972,17.224,13.187.979,-893.674
DA+M,20.471,19.859,19.146,17.972,17.224,13.187.979,-893.674
DA+M,20.471,19.859,19.146,17.972,17.224,13.187.979,-893.674
DA+M,20.471,19.859,19.146,17.972,17.224,13.187.979,-893.674
DA_auto,19.545,19.13,19.299,19.541,19.981,13.356.938,-97.094
DA,19.119,18.714,18.936,19.078,19.31,13.452.814,14.208.064
DA+M,18.659,18.435,18.41,17.476,16.864,13.577.264,962.842
DA,19.205,18.854,19.083,19.315,19.543,13.610.157,15.296.451
DA,18.991,18.552,18.378,18.343,18.393,13.650.207,-828.318
DA,18.991,18.552,18.378,18.343,18.393,13.650.207,-828.318
DA,18.991,18.552,18.378,18.343,18.393,13.650.207,-828.318
DA,17.216,16.852,16.762,16.842,16.969,1.366.185,-9.872.194
DA+M,18.843,18.552,18.718,18.459,18.028,13.740.047,-421.431
DA+M,18.843,18.552,18.718,18.459,18.028,13.740.047,-421.431
DA+M,18.843,18.552,18.718,18.459,18.028,13.740.047,-421.431
DA,18.794,18.994,19.448,19.559,20.06,13.793.901,1.144.002
DA,18.794,18.994,19.448,19.559,20.06,13.793.901,1.144.002
DA+M,20.416,20.03,19.542,18.717,18.231,13.832.925,677.548
DA+M,18.072,18.468,18.918,19.102,19.023,13.917.172,-1.011.202
DA_auto,18.602,18.285,18.588,18.8,19.142,1.394.708,66.329
DA_auto,18.602,18.285,18.588,18.8,19.142,1.394.708,66.329
DA,15.489,15.854,16.25,16.568,16.861,139.491,-8.752.012
DA_auto,20.786,20.35,20.233,20.274,20.273,13.966.219,-1.072.855
DA,18.145,18.178,18.477,18.761,19.118,13.985.603,-9.596.179
DA_auto,20.167,20.181,20.448,20.859,21.425,1.400.876,-37.893
DA_auto,20.106,19.665,19.642,19.682,19.829,14.047.935,965.793
DA,18.904,18.469,18.659,18.819,19.062,14.084.377,14.120.665
DB,18.838,19.05,19.302,19.653,19.737,14.136.213,-30.422
DC,18.685,18.38,18.439,18.5,18.593,1.426.525,13.793.362
DA,19.396,18.85,18.913,18.954,19.143,14.265.558,15.170.711
DA_auto,19.234,18.737,18.963,19.136,19.504,14.676.956,-949.205
DZ,19.206,19.071,19.244,19.409,19.672,14.778.286,290.361
DA_auto,20.437,20.078,20.036,20.098,20.287,14.979.294,-577.507
DA+M,21.044,20.51,19.885,19.075,18.557,15.043.864,627.549
DA,17.868,17.995,18.374,18.638,18.957,15.086.197,13.913.587
DA_auto,20.691,20.317,20.122,20.128,20.023,15.168.016,-578.913
DA+M,19.337,18.857,19.005,18.769,18.293,15.191.426,15.116.434
DA_auto,19.303,18.866,19.051,19.234,19.375,15.355.698,346.937
DA:,,,,,,1.540.908,4.696.561
DA,18.505,18.181,18.246,18.383,18.641,15.530.207,-549.941
DA_auto,,,,,,1.556.248,4.643.915
DA,19.352,19.256,19.513,19.778,19.964,1.560.473,-916.231
DA_auto,19.413,18.948,19.052,19.235,19.475,15.627.584,-79.536
DA,18.705,18.631,18.948,19.285,19.551,15.758.797,-9.100.385
DA_auto,19.205,18.644,18.396,18.284,18.321,1.581.943,149.923
DA,18.657,19.1,19.533,19.927,20.237,15.842.461,-346.591
DA+M,19.359,19.135,18.834,18.136,17.648,15.923.308,525.723
DA+M,19.359,19.135,18.834,18.136,17.648,15.923.308,525.723
DC+M,19.265,19.07,19.14,19.115,18.854,15.939.833,629.653
DC+M,19.265,19.07,19.14,19.115,18.854,15.939.833,629.653
DC+M,19.265,19.07,19.14,19.115,18.854,15.939.833,629.653
DA,18.874,18.829,19.112,19.35,19.592,16.066.648,14.815.958
