,t,x,y,z,Sx,Sy,Sz
6642,2,3.3421052631578947,3.421052631578947,-6.315789473684211,0.002449618025709286,0.002507483018442576,-0.0046291994186632174
6643,2,3.3421052631578947,3.421052631578947,-5.473684210526316,0.0037675116827824732,0.003856508021745838,-0.006170412834793341
6644,2,3.3421052631578947,3.421052631578947,-4.631578947368421,0.005844287664532189,0.005982341703851846,-0.00809917030675327
6645,2,3.3421052631578947,3.421052631578947,-3.7894736842105265,0.009036852917980748,0.00925032188454722,-0.010246510395190771
6646,2,3.3421052631578947,3.421052631578947,-2.947368421052632,0.013661465605116026,0.013984177391063645,-0.012047906675377914
6647,2,3.3421052631578947,3.421052631578947,-2.105263157894737,0.01962126180866675,0.02008475618209982,-0.012359849958215277
6648,2,3.3421052631578947,3.421052631578947,-1.2631578947368425,0.025811607691322853,0.02642133070765331,-0.009755568261287382
6649,2,3.3421052631578947,3.421052631578947,-0.4210526315789478,0.029967115103700766,0.0306749997124496,-0.0037753845799938014
6650,2,3.3421052631578947,3.421052631578947,0.4210526315789469,0.029967115103700766,0.0306749997124496,0.0037753845799937936
6651,2,3.3421052631578947,3.421052631578947,1.2631578947368425,0.025811607691322853,0.02642133070765331,0.009755568261287382
6652,2,3.3421052631578947,3.421052631578947,2.1052631578947363,0.019621261808666766,0.020084756182099837,0.012359849958215282
6653,2,3.3421052631578947,3.421052631578947,2.94736842105263,0.013661465605116038,0.01398417739106366,0.012047906675377917
6654,2,3.3421052631578947,3.421052631578947,3.7894736842105257,0.009036852917980757,0.009250321884547231,0.010246510395190778
6655,2,3.3421052631578947,3.421052631578947,4.631578947368421,0.0058442876645321854,0.0059823417038518435,0.008099170306753264
6656,2,3.3421052631578947,3.421052631578947,5.473684210526315,0.003767511682782474,0.0038565080217458393,0.006170412834793343
6657,2,3.3421052631578947,3.421052631578947,6.315789473684209,0.002449618025709288,0.002507483018442578,0.004629199418663222
6658,2,3.3421052631578947,3.421052631578947,7.157894736842104,0.0016168695832785487,0.0016550633529622935,0.0034629017846595682
6659,2,3.3421052631578947,3.421052631578947,8.0,0.001086758259566958,0.0011124297145173583,0.0026013741016405923
6660,2,3.5789473684210527,3.421052631578947,-8.0,0.0011902308732977059,0.0011377206877110425,-0.002660516069724284
6661,2,3.5789473684210527,3.421052631578947,-7.157894736842105,0.001756772362192691,0.001679267699154778,-0.003513544724385382
6662,2,3.5789473684210527,3.421052631578947,-6.315789473684211,0.0026357220873944164,0.0025194402305976035,-0.0046512742718725
6663,2,3.5789473684210527,3.421052631578947,-5.473684210526316,0.004005672444174545,0.003828951601049197,-0.006126322561678717
6664,2,3.5789473684210527,3.421052631578947,-4.631578947368421,0.006124886239414467,0.005854670670028533,-0.007926323368654016
6665,2,3.5789473684210527,3.421052631578947,-3.7894736842105265,0.009311807656960472,0.008900992613271038,-0.009859561048546385
6666,2,3.5789473684210527,3.421052631578947,-2.947368421052632,0.013813865202547015,0.01320442997302288,-0.011376124284450484
6667,2,3.5789473684210527,3.421052631578947,-2.105263157894737,0.019463614162956677,0.018604925302826234,-0.011449184801739223
6668,2,3.5789473684210527,3.421052631578947,-1.2631578947368425,0.025188767196387848,0.024077498055370735,-0.008890153128136891
6669,2,3.5789473684210527,3.421052631578947,-0.4210526315789478,0.028963466774919577,0.02768566677014371,-0.003407466679402306
6670,2,3.5789473684210527,3.421052631578947,0.4210526315789469,0.028963466774919587,0.02768566677014372,0.0034074666794023005
6671,2,3.5789473684210527,3.421052631578947,1.2631578947368425,0.025188767196387848,0.024077498055370735,0.008890153128136891
6672,2,3.5789473684210527,3.421052631578947,2.1052631578947363,0.019463614162956677,0.018604925302826234,0.01144918480173922
6673,2,3.5789473684210527,3.421052631578947,2.94736842105263,0.01381386520254703,0.013204429973022892,0.011376124284450487
6674,2,3.5789473684210527,3.421052631578947,3.7894736842105257,0.009311807656960483,0.008900992613271048,0.009859561048546392
6675,2,3.5789473684210527,3.421052631578947,4.631578947368421,0.006124886239414464,0.005854670670028532,0.007926323368654013
6676,2,3.5789473684210527,3.421052631578947,5.473684210526315,0.004005672444174546,0.0038289516010491975,0.006126322561678717
6677,2,3.5789473684210527,3.421052631578947,6.315789473684209,0.0026357220873944186,0.002519440230597606,0.004651274271872502
6678,2,3.5789473684210527,3.421052631578947,7.157894736842104,0.0017567723621926914,0.0016792676991547783,0.0035135447243853824
6679,2,3.5789473684210527,3.421052631578947,8.0,0.001190230873297707,0.0011377206877110431,0.0026605160697242857
6680,2,3.81578947368421,3.421052631578947,-8.0,0.0012946672532340268,0.001160736158071886,-0.0027143368619527183
6681,2,3.81578947368421,3.421052631578947,-7.157894736842105,0.0018953885271173238,0.0016993138518982904,-0.0035554874439718076
6682,2,3.81578947368421,3.421052631578947,-6.315789473684211,0.0028155819282211737,0.0025243148321982935,-0.004660273536366081
6683,2,3.81578947368421,3.421052631578947,-5.473684210526316,0.0042278328052788375,0.0037904707909396478,-0.006064753265503437
6684,2,3.81578947368421,3.421052631578947,-4.631578947368421,0.006372311128862532,0.005713106529325028,-0.00773466730124004
6685,2,3.81578947368421,3.421052631578947,-3.7894736842105265,0.009527679279335673,0.008542057284921637,-0.009461971146374738
6686,2,3.81578947368421,3.421052631578947,-2.947368421052632,0.013877110159048895,0.012441547039147285,-0.010718871295265357
6687,2,3.81578947368421,3.421052631578947,-2.105263157894737,0.019197245740272536,0.017211323767140897,-0.010591583856702091
