u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
17.882.587,16.793.232,16.440.977,16.221.056,16.272.169,1.903.423.755,2.487.536.636
16.705.259,15.845.749,15.652.268,15.563.484,15.563.666,1.903.489.395,2.486.468.132
19.107.924,17.624.435,17.118.225,1.692.815,1.684.391,1.903.669.282,2.484.292.252
19.141.214,17.480.431,16.810.925,16.572.857,16.466.822,1.903.712.895,2.469.966.648
18.169.809,16.239.979,15.532.351,15.283.616,15.169.936,1.902.147.536,2.188.794.509
19.471.247,17.813.854,17.183.134,16.955.811,1.684.203,1.903.582.018,2.185.221.004
18.722.591,17.452.494,16.995.245,16.826.551,16.783.001,1.903.631.084,2.189.040.972
20.106.461,17.744.728,16.705.402,16.300.167,16.036.114,1.903.091.318,2.188.748.955
1.843.626,17.160.917,16.768.436,16.554.504,16.498.947,1.902.871.706,2.240.520.629
18.394.403,17.235.413,16.789.289,16.653.522,16.578.814,1.903.231.628,2.228.889.828
19.062.746,17.899.509,17.511.795,17.272.842,17.244.387,1.903.636.094,2.239.221.107
18.953.224,17.785.521,17.351.521,17.209.213,17.183.344,1.902.852.214,2.278.763.313
18.179.806,17.066.498,16.642.445,16.508.829,16.434.999,1.903.495.415,2.270.264.108
17.123.589,16.035.357,15.651.999,15.551.599,1.551.271,1.903.693.829,2.276.339.337
19.232.891,17.649.616,17.054.348,16.864.725,16.735.083,1.902.145.365,2.304.670.937
18.932.859,17.554.209,17.032.518,16.869.717,16.803.877,1.900.156.328,2.237.104.162
17.793.165,16.695.894,16.227.631,1.603.117,16.036.049,1.900.165.132,2.450.306.491
18.650.848,17.509.714,17.116.526,1.701.412,16.950.243,1.900.399.845,2.439.903.388
1.862.565,17.655.275,17.309.042,17.152.243,17.137.808,1.900.166.536,218.811.091
1.949.411,17.947.161,1.735.684,17.131.859,1.705.666,1.900.184.445,2.289.645.617
18.579.199,16.631.269,1.586.782,15.614.303,15.480.698,1.900.406.409,2.458.197.097
18.952.047,1.781.208,17.368.101,17.226.425,17.095.352,190.040.251,2.086.154.489
19.376.585,17.907.139,17.278.353,17.010.603,16.875.582,1.900.400.123,2.015.235.758
1.796.306,16.775.002,16.343.277,16.234.774,16.147.051,1.900.418.412,2.072.135.907
19.197.567,17.507.092,16.837.942,16.584.318,16.458.975,1.900.911.033,2.430.280.801
18.132.019,16.643.295,1.602.829,1.580.868,15.706.031,190.104.197,2.478.011.547
18.303.764,16.911.543,16.379.385,1.617.708,16.092.476,1.900.434.803,2.151.283.977
18.442.278,17.126.551,16.592.566,16.434.902,16.348.404,1.900.438.965,2.138.214.594
18.978.939,17.328.272,167.185,16.548.409,16.416.759,1.901.055.849,236.343.306
19.455.751,17.921.257,17.384.136,17.175.131,1.705.324,1.901.068.923,2.347.954.539
19.752.842,17.920.959,17.285.734,17.007.961,16.871.536,1.900.723.885,2.161.621.768
18.766.745,17.406.759,17.102.024,169.842,16.908.871,1.901.205.803,2.260.561.167
19.779.596,17.146.374,1.587.722,15.302.592,1.502.189,1.900.750.465,2.297.997.475
19.250.666,17.736.305,17.139.166,16.926.266,16.792.681,1.900.917.525,2.087.065.749
19.423.647,17.923.771,17.366.001,17.145.699,16.980.682,1.901.173.963,2.089.160.601
17.336.784,15.944.209,15.435.458,15.355.819,15.135.395,1.900.901.716,2.033.993.238
19.103.422,17.344.015,16.729.445,16.499.723,16.394.775,1.900.895.153,2.057.040.475
19.881.893,17.441.557,16.383.078,15.965.029,15.754.816,1.901.048.175,2.058.453.609
17.832.439,16.477.749,15.977.764,15.811.205,15.735.384,190.208.146,2.155.137.443
20.088.772,17.446.987,16.133.329,15.597.601,15.339.636,190.238.014,2.156.857.417
18.660.736,17.534.935,17.086.147,16.915.903,1.686.886,1.902.525.752,2.147.846.995
18.934.088,17.867.516,17.532.606,1.738.788,17.330.013,1.902.511.865,2.193.845.198
19.482.952,17.583.656,168.571,16.624.548,16.442.873,1.902.664.811,2.182.693.356
19.084.204,16.882.187,16.022.017,15.710.164,15.552.855,1.901.280.086,2.275.497.392
18.749.594,16.518.024,15.644.648,15.323.376,15.166.621,1.902.591.676,2.263.358.803
18.806.629,17.548.122,17.090.483,16.921.259,1.685.136,1.902.504.635,2.319.162.012
17.152.193,15.964.345,15.509.356,15.342.072,15.314.282,1.902.522.488,2.322.144.869
18.723.679,17.730.957,17.332.161,17.206.144,17.134.098,1.902.196.596,2.358.062.716
18.994.005,17.922.482,17.503.487,17.369.152,1.734.697,1.902.392.204,2.357.976.248
18.983.961,17.287.148,16.581.959,1.634.017,16.171.309,1.902.391.032,2.135.147.578
17.499.489,16.272.158,15.802.229,15.644.176,15.645.781,190.245.395,2.206.663.551
17.249.767,15.891.166,15.375.118,15.204.101,15.147.026,1.902.589.425,2.204.734.092
1.715.349,15.896.464,15.361.351,15.176.961,15.082.554,1.902.668.097,2.242.213.778
19.186.535,17.185.511,16.422.634,16.134.476,16.002.449,1.901.280.647,2.293.780.786
19.053.947,1.730.781,16.600.298,16.349.115,16.193.506,190.252.623,2.304.405.652
19.268.311,17.978.745,17.548.882,17.420.912,17.358.253,1.902.672.389,2.292.252.231
17.945.141,16.203.043,15.950.604,15.825.637,1.568.343,1.902.399.538,2.346.252.253
17.481.787,16.255.314,15.816.139,15.711.328,1.560.539,1.902.739.897,2.338.256.931
20.503.483,17.873.653,16.586.437,15.793.768,15.293.203,1.902.504.297,2.342.858.573
17.881.639,16.731.634,16.316.042,16.158.543,16.156.834,1.902.380.598,2.453.366.342
17.496.605,16.353.357,15.936.577,15.780.431,15.751.756,1.902.567.124,2.465.287.788
19.389.793,17.975.187,17.448.269,17.275.938,17.187.933,1.901.284.394,2.007.036.915
20.237.015,17.525.728,16.228.024,15.536.757,15.202.822,1.902.182.952,2.009.616.085
19.174.877,17.794.746,17.173.918,16.930.126,16.840.382,1.902.575.648,2.046.017.728
20.400.213,17.942.585,16.798.983,16.365.431,16.136.934,1.902.447.821,2.029.240.821
1.923.436,17.380.968,16.502.785,16.225.994,16.085.304,1.902.379.183,2.066.923.942
20.135.412,17.707.491,16.611.048,16.577.177,15.982.297,1.902.743.615,2.098.474.719
18.006.069,16.995.459,16.661.377,16.501.657,16.505.838,190.570.533,2.398.419.129
18.023.684,16.619.144,16.012.417,15.805.654,15.737.241,1.905.656.916,243.162.339
18.824.762,17.511.292,17.015.596,16.832.129,16.754.276,1.906.121.241,244.134.684
18.841.215,16.729.528,15.909.443,15.632.228,15.479.025,1.906.233.668,2.440.424.884
17.595.472,16.568.338,16.206.139,16.124.573,16.131.151,1.906.218.588,2.427.529.519
20.409.185,1.780.571,16.615.685,16.168.688,15.936.159,1.905.729.588,2.447.473.251
17.367.723,15.914.138,1.528.672,15.072.874,1.501.823,1.905.696.297,2.488.403.002
19.384.193,17.797.716,17.141.964,17.100.782,16.882.828,1.906.215.962,2.484.600.006
17.787.107,16.604.422,16.268.597,16.137.169,1.607.452,1.905.883.247,21.935.592
19.055.506,17.359.293,1.668.466,16.433.636,16.247.105,1.906.013.854,2.188.580.546
20.103.291,17.872.929,16.877.972,16.485.178,16.226.734,1.906.255.313,219.220.129
18.657.906,17.024.488,16.415.005,16.162.176,16.059.052,1.905.635.994,2.229.466.421
17.488.636,16.085.932,15.571.505,15.372.384,15.315.258,1.905.665.484,227.395.021
17.707.609,16.565.285,16.231.255,16.059.912,16.032.211,1.905.711.468,2.262.626.729
20.463.989,17.892.267,1.668.362,161.989,15.948.688,1.905.703.319,2.276.801.152
18.790.525,17.631.023,17.117.683,16.930.017,16.818.769,1.906.196.364,2.266.509.574
19.400.314,1.706.254,15.875.041,15.402.014,15.113.605,190.620.628,2.264.044.172
1.739.809,16.349.453,16.004.681,15.872.499,15.851.494,1.905.706.951,2.363.141.299
19.692.101,17.625.172,16.730.362,16.397.987,16.242.527,1.902.344.427,2.270.456.911
18.249.794,17.420.202,1.712.022,17.025.192,17.021.736,1.902.774.057,2.272.074.372
18.832.575,16.613.539,15.677.734,1.532.858,15.124.675,1.902.417.486,2.319.701.583
17.885.233,16.187.033,15.503.856,15.220.114,15.105.505,1.902.801.476,2.322.147.521
17.843.359,1.667.181,16.179.054,16.006.613,15.943.502,1.902.364.584,2.358.805.645
18.963.011,17.101.898,16.399.706,16.198.986,16.094.477,1.902.491.957,2.355.922.821
18.426.849,16.832.335,16.189.739,15.938.438,15.758.739,1.902.240.996,2.129.524.497
18.426.279,17.263.525,17.157.673,17.149.496,17.139.128,1.902.716.621,2.120.251.808
19.845.121,17.841.389,16.989.408,16.713.627,16.545.074,1.902.557.388,2.134.567.032
17.467.958,16.352.345,1.622.999,16.221.395,16.288.839,1.902.268.607,2.173.876.407
