u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
18.118.061,1.663.765,16.065.861,15.859.155,15.758.344,1.908.572.565,205.506.437
18.764.271,17.451.984,16.872.211,16.626.492,16.460.438,190.873.157,2.055.525.786
17.942.102,16.779.474,16.365.692,16.143.339,16.074.152,190.403.487,2.109.334.687
18.745.947,1.750.905,17.064.352,16.896.015,16.832.718,1.908.718.728,2.103.399.138
16.960.974,16.010.822,15.776.975,15.628.411,15.560.202,1.908.783.236,2.095.914.113
19.073.187,17.850.906,17.623.821,17.493.343,17.441.889,1.908.997.273,2.097.943.634
20.496.464,17.977.842,16.613.783,15.699.607,15.176.898,1.908.840.455,2.110.455.296
17.223.818,15.983.541,15.571.101,15.385.456,15.321.635,1.909.812.872,2.095.988.727
17.061.625,15.910.127,15.401.466,15.224.732,1.517.877,1.910.115.871,2.388.755.048
19.051.508,17.715.664,1.718.565,17.017.359,16.951.265,1.910.134.156,2.392.289.551
19.173.302,17.656.328,17.118.961,16.917.843,16.803.679,1.915.663.581,2.399.459.078
18.162.296,16.701.294,16.094.145,15.887.132,15.760.746,1.915.743.365,2.392.465.737
18.041.859,16.891.941,16.466.412,1.633.272,16.248.358,1.915.858.997,2.389.179.695
19.516.075,17.388.729,16.534.235,16.196.024,1.599.857,1.915.971.742,2.400.741.434
18.570.641,17.297.441,16.830.645,16.667.501,16.579.576,1.916.257.842,2.395.176.706
17.466.425,16.030.573,15.524.455,15.359.213,15.268.567,1.916.267.579,2.395.962.077
18.820.347,17.699.312,17.230.938,17.073.048,16.952.961,191.645.385,2.392.838.697
18.637.733,17.360.703,16.866.062,166.661,16.590.258,1.916.925.639,2.380.615.324
191.234,17.907.812,17.480.194,17.327.282,17.267.416,1.917.078.461,2.396.192.542
18.914.034,17.722.452,17.170.675,17.011.448,16.971.224,1.917.267.018,2.384.062.817
1.818.906,17.026.588,16.565.657,16.405.287,16.357.737,1.910.209.532,2.444.991.787
17.980.671,16.964.022,16.581.173,16.449.291,1.641.408,1.910.330.898,2.431.421.051
17.372.812,16.245.146,1.586.592,15.725.816,15.683.598,1.915.751.288,2.424.788.103
19.388.157,17.665.791,1.705.176,16.833.883,1.671.632,1.915.784.298,2.422.871.374
18.621.712,17.240.713,16.726.507,16.544.882,1.648.534,1.916.006.273,2.433.990.089
17.286.842,15.918.993,15.519.544,15.385.433,15.341.303,1.916.495.836,2.442.612.172
1.852.924,17.100.176,1.656.517,16.362.654,16.267.664,1.916.510.819,2.428.148.607
19.729.362,17.996.004,17.458.323,1.722.942,17.078.865,1.916.605.322,244.290.979
18.866.177,17.596.701,17.121,1.699.543,16.881.464,1.916.657.499,2.425.233.613
16.995.358,15.866.419,15.477.237,15.376.681,15.339.451,1.917.124.842,2.428.411.249
18.626.509,17.143.822,16.587.963,16.404.503,16.265.516,1.917.269.941,2.432.311.281
20.117.779,17.472.353,16.088.684,15.429.631,15.049.335,1.917.411.597,24.256.124
18.499.311,17.662.924,17.414.618,17.317.589,17.282.749,191.568.787,248.280.272
18.943.857,17.599.318,17.020.683,16.800.648,16.689.861,1.916.053.848,2.484.233.215
19.698.889,17.761.152,16.974.848,16.720.072,16.567.036,1.916.127.134,2.468.992.116
18.785.374,17.817.526,17.500.376,17.447.422,17.424.313,1.916.355.437,2.467.848.287
174.995,16.280.216,15.845.675,15.686.208,15.619.913,1.916.993.251,2.472.653.117
19.223.965,16.946.051,16.007.128,15.656.284,15.491.995,1.917.084.374,2.473.604.791
17.783.079,16.490.198,15.972.272,1.578.636,15.719.863,1.917.175.808,2.468.947.057
17.800.385,16.472.681,15.927.522,15.745.846,15.656.297,19.099.797,214.117.657
17.666.592,16.337.191,1.585.705,1.570.204,15.662.418,1.910.242.309,2.153.660.547
18.656.542,16.476.042,15.612.525,15.356.844,15.203.012,1.910.470.118,2.134.502.153
19.303.265,17.680.021,17.065.367,16.795.717,1.668.309,191.577.436,2.149.526.358
20.061.144,17.859.604,16.956.781,16.620.415,16.444.427,1.916.327.845,2.140.777.479
1.980.958,17.513.508,16.611.593,16.320.332,16.150.766,1.916.797.114,2.139.072.118
18.115.833,16.785.328,1.626.174,1.607.888,1.600.387,1.916.900.689,2.144.271.296
18.484.238,17.292.198,16.821.844,1.663.402,1.657.826,1.917.046.289,2.147.226.884
18.548.328,16.792.156,1.616.925,15.971.809,1.585.321,1.917.167.459,2.145.919.172
20.259.157,17.593.927,16.297.014,15.745.357,15.370.087,1.917.168.359,2.141.117.026
18.776.798,17.651.443,17.263.773,17.125.776,17.071.571,1.910.090.051,2.190.787.664
1.841.021,17.367.062,17.043.737,16.919.289,16.877.073,1.915.887.124,217.702.023
19.781.021,17.707.315,16.863.354,16.565.786,16.342.459,1.916.223.288,2.183.930.373
18.193.111,17.028.999,16.607.239,16.449.617,16.389.292,1.916.198.199,2.173.614.072
18.915.546,17.601.456,17.109.787,16.930.521,16.884.836,1.916.393.073,2.180.647.203
17.654.306,16.175.802,15.627.589,154.271,15.383.698,1.916.500.681,2.181.193.915
18.844.242,17.624.949,17.175.957,17.048.471,16.960.566,1.916.467.416,217.403.568
20.477.215,17.848.055,16.460.794,15.861.223,15.520.335,1.917.064.579,2.184.932.713
18.351.645,1.640.518,1.564.535,15.364.876,15.254.594,1.909.971.531,2.229.010.775
19.216.898,17.802.769,17.319.532,17.130.856,1.704.501,1.915.677.551,2.233.455.811
17.525.608,16.381.496,15.929.768,15.806.343,15.760.901,1.915.821.384,2.218.282.983
1.647.258,15.600.921,15.307.637,15.225.481,15.193.784,1.915.950.151,2.231.071.274
19.297.016,17.142.132,16.251.591,15.926.834,15.732.826,1.916.108.692,2.229.265.496
18.922.865,17.824.156,17.321.941,17.129.944,17.034.355,1.916.199.845,2.230.416.761
18.814.627,17.202.959,16.599.491,16.385.139,16.302.042,1.916.657.231,22.287.168
18.465.466,17.077.858,16.511.494,16.307.064,16.203.335,1.916.683.216,2.220.591.506
18.754.738,17.010.727,16.325.279,16.056.759,15.927.022,1.916.724.971,2.217.467.927
18.953.245,17.537.748,17.025.646,16.874.014,16.765.793,1.917.249.625,2.233.291.225
17.343.178,1.610.326,15.703.465,1.555.869,15.513.261,1.917.273.228,2.218.733.962
18.573.544,17.412.933,16.907.125,16.646.435,1.651.437,1.904.747.959,2.094.220.911
17.649.105,16.678.608,16.369.766,16.250.986,16.213.705,1.907.436.705,2.074.795.309
17.929.924,16.504.274,15.946.781,15.690.588,15.571.232,1.907.544.019,2.077.207.013
1.934.763,17.002.493,15.903.506,15.502.986,15.269.709,1.904.451.736,2.030.387.633
18.346.447,16.520.443,15.811.335,15.610.321,1.549.373,1.904.810.383,2.028.909.127
18.511.803,17.584.862,17.450.745,1.745.616,17.482.107,190.485.576,2.021.144.882
1.859.951,16.781.956,16.153.154,15.895.341,15.788.027,1.907.206.766,2.028.116.415
18.318.378,16.548.723,15.915.058,15.630.453,15.510.512,190.708.049,2.014.631.426
18.732.481,17.787.109,17.461.159,17.347.422,17.276.722,190.733.187,2.024.666.877
18.435.305,1.707.589,16.593.546,16.397.663,16.301.453,1.907.376.469,201.748.159
1.782.465,16.433.655,15.849.338,15.630.958,15.534.614,1.904.482.898,2.062.502.686
1.789.113,16.325.684,15.700.979,15.481.084,15.357.444,1.904.415.108,2.114.403.706
19.229.025,17.990.192,17.410.078,17.163.004,16.992.722,1.904.567.299,2.098.148.813
19.320.477,17.369.522,16.617.302,16.336.176,16.128.517,1.904.607.746,2.099.851.329
18.110.075,16.769.487,16.271.603,16.119.745,16.045.069,1.904.727.433,2.098.972.735
18.806.437,17.435.793,16.921.253,16.721.025,16.620.705,1.907.084.856,2.104.004.258
18.418.585,17.360.348,1.693.095,16.767.094,16.668.257,1.907.380.029,2.097.458.353
1.836.219,17.344.191,1.699.399,16.868.305,16.862.244,190.766.003,2.397.535.883
18.059.052,16.840.082,1.631.484,16.130.199,16.016.243,1.914.138.839,2.399.468.912
18.667.891,17.686.209,17.371.033,17.244.293,17.199.127,1.915.022.388,238.512.511
17.279.552,16.060.236,15.620.824,1.561.649,15.398.594,1.915.256.213,2.401.578.117
16.739.208,15.751.203,15.224.209,15.118.125,15.074.069,1.915.258.046,239.897.999
18.779.053,17.380.106,16.863.499,16.661.802,16.573.347,1.913.980.561,2.432.369.586
19.350.824,17.749.182,17.204.399,17.013.494,1.692.849,1.914.086.054,2.424.001.446
17.518.976,16.411.966,16.021.236,15.893.725,15.829.688,1.914.454.791,2.426.423.127
18.004.908,16.180.361,15.464.943,15.229.823,1.509.556,191.469.611,2.432.911.793
19.184.601,17.926.155,17.382.708,1.713.715,16.983.841,1.914.816.038,2.441.630.345
16.932.524,16.092.339,1.586.105,15.769.265,15.739.313,1.914.817.993,2.434.612.459
18.328.653,17.550.028,17.197.714,17.039.267,16.937.794,1.915.011.989,2.437.176.937
19.773.195,17.929.871,17.191.753,16.914.343,16.761.431,1.915.047.401,2.432.240.718
1.748.947,1.617.197,1.568.937,15.517.673,15.476.478,1.915.119.039,2.439.642.598
18.356.096,17.317.087,16.958.971,16.820.202,16.781.845,1.915.145.919,2.426.121.125
17.785.776,16.557.653,16.062.069,15.884.772,15.827.639,1.915.372.732,2.440.628.269
19.249.363,17.449.158,16.711.166,16.444.853,16.301.683,191.540.655,2.440.486.941
18.422.579,1.630.184,15.481.206,15.179.206,15.023.565,1.915.557.328,2.443.225.395
18.105.827,16.729.374,1.618.939,16.000.223,15.891.069,1.919.396.128,2.437.231.974
18.835.854,17.309.031,1.674.053,16.540.625,1.642.779,1.919.490.828,2.437.439.652
17.678.492,16.767.607,16.618.036,16.577.335,16.581.619,1.919.649.001,2.437.738.426
19.032.473,17.418.249,16.813.921,16.604.219,16.464.682,1.919.805.947,2.431.609.225
16.922.558,15.802.992,15.436.266,15.271.381,15.259.377,1.913.949.768,2.482.276.429
19.049.791,1.785.923,17.379.837,17.182.783,17.114.016,1.914.669.533,2.485.860.432
17.328.831,16.226.521,1.579.908,15.675.554,15.640.857,1.914.878.922,2.473.275.578
19.675.972,17.994.404,17.332.375,17.105.377,16.996.609,1.914.776.141,2.471.386.263
1.884.767,17.604.328,1.712.635,16.949.553,16.854.118,1.915.148.395,2.476.493.807
17.326.008,1.612.723,15.674.315,15.460.052,1.540.286,1.915.269.688,2.470.392.513
18.477.955,16.804.466,16.162.477,15.886.497,15.790.034,1.915.459.199,2.468.735.591
17.284.048,1.612.656,15.708.878,1.558.985,15.519.906,1.919.450.392,2.470.685.486
17.800.972,16.848.059,165.427,1.646.002,16.414.314,191.941.378,2.464.062.361
18.163.485,17.038.622,16.825.527,16.792.952,16.762.722,1.919.425.666,2.466.131.062
18.940.529,17.318.577,16.682.838,16.487.028,16.359.486,1.919.498.734,2.465.293.494
16.815.128,15.723.602,15.335.866,15.196.114,1.511.639,1.919.561.984,246.736.329
17.921.858,16.627.638,16.205.843,16.036.182,15.964.439,1.914.363.413,2.135.958.882
18.695.438,17.408.527,16.942.795,1.674.585,16.661.337,1.914.451.528,2.150.381.845
18.744.415,17.618.702,17.229.771,17.052.853,16.997.885,1.914.448.166,2.146.432.211
18.237.083,16.416.588,15.757.779,15.519.719,15.386.991,1.914.775.934,2.135.866.026
18.981.037,17.710.466,17.259.722,17.041.941,16.992.134,1.914.848.025,2.150.979.724
18.990.953,17.614.595,17.243.517,16.999.453,1.689.113,1.915.253.852,2.142.070.915
18.880.604,17.915.508,17.550.968,17.401.121,17.358.078,1.919.420.673,2.132.918.224
18.405.737,16.895.021,16.349.339,16.124.037,15.997.966,1.919.627.908,2.130.590.545
17.625.742,1.648.995,16.106.913,15.917.398,15.941.745,1.913.800.591,2.178.711.444
18.457.926,17.532.381,17.219.646,17.133.736,17.112.122,1.914.077.779,2.176.662.316
19.768.028,17.750.969,16.916.391,16.635.115,16.463.114,1.914.498.638,2.187.585.588
19.383.675,1.758.777,16.853.024,16.565.054,16.412.144,1.914.710.655,2.186.190.093
18.079.258,16.864.393,16.335.703,16.100.367,16.015.787,1.914.862.134,2.182.051.769
20.464.699,17.783.562,16.421.547,1.585.503,1.553.341,1.914.345.289,2.181.822.469
19.658.154,17.520.842,16.588.564,16.229.679,16.069.759,191.556.939,2.191.157.566
18.980.389,16.563.395,1.561.494,15.329.381,15.158.735,1.919.435.372,2.190.223.465
19.354.069,17.282.009,16.353.132,16.031.116,15.860.345,191.940.884,2.175.700.218
17.482.996,16.143.198,15.652.892,15.505.286,15.438.564,1.919.495.469,2.187.820.036
20.584.763,1.797.925,16.716.175,16.238.474,15.960.481,1.919.708.076,2.189.293.749
17.496.351,16.372.042,15.873.629,15.786.223,15.720.107,1.913.836.442,2.219.283.185
18.181.137,16.864.458,16.444.273,16.299.662,16.250.683,1.913.958.965,2.227.374.231
19.457.891,17.228.849,16.275.732,15.958.662,15.764.061,1.914.186.818,2.219.743.832
19.024.586,1.799.741,17.626.072,17.522.831,17.459.944,1.914.400.197,2.226.673.569
19.605.461,17.383.591,16.508.348,16.232.349,1.606.003,1.914.467.847,2.231.327.482
17.594.994,1.665.316,16.322.275,1.623.826,16.208.754,191.464.169,2.216.177.068
18.200.798,17.044.197,16.642.553,16.490.562,16.464.123,1.911.172.165,2.044.702.486
1.711.433,16.030.294,15.647.615,1.550.177,15.448.209,1.911.756.791,2.046.780.837
20.585.808,17.891.224,16.494.946,15.689.977,15.242.016,1.911.755.371,2.051.055.486
17.695.807,16.509.617,16.048.164,15.898.818,15.830.759,1.906.955.471,2.091.760.161
1.826.556,17.112.228,16.698.174,16.568.872,16.509.882,1.906.951.092,2.084.795.243
17.614.565,16.425.365,15.979.728,1.582.583,15.755.013,19.069.453,2.078.815.937
19.668.272,17.779.499,1.706.414,16.805.834,16.630.846,1.910.735.212,208.944.381
19.315.643,17.783.661,17.150.454,16.859.827,1.673.168,1.911.024.505,2.079.128.912
19.287.519,17.667.639,17.004.158,1.668.824,16.564.817,1.911.388.637,2.075.768.033
18.962.883,17.514.048,1.693.409,16.687.054,16.498.472,1.911.539.265,2.090.081.295
1.964.407,16.982.906,15.811.509,15.355.864,15.134.526,191.149.426,20.752.809
18.689.684,17.627.117,17.236.437,17.095.034,17.036.179,1.911.782.565,2.073.708.278
20.229.055,17.551.132,16.145.594,15.438.134,15.086.921,1.910.727.029,2.080.331.719
18.227.959,16.841.606,16.342.081,16.156.124,16.074.158,1.906.935.008,2.023.812.596
19.161.253,17.571.657,16.973.593,16.715.168,16.647.667,1.910.773.515,2.012.502.094
19.357.264,17.809.719,17.203.569,16.987.886,16.887.535,1.911.800.172,2.029.615.114
18.709.154,17.425.518,16.969.019,16.798.162,16.734.148,1.911.811.548,2.024.494.462
18.559.818,16.949.648,16.378.183,16.159.836,16.057.774,1.911.965.759,2.021.569.665
19.147.863,1.689.539,15.977.801,15.639.007,15.461.272,1.912.270.865,2.012.672.321
17.473.993,16.354.986,16.002.645,15.870.612,15.846.575,1.912.450.352,2.017.548.374
17.292.559,16.393.635,16.138.439,16.019.957,16.009.333,1.910.838.338,2.055.330.544
1.866.408,17.114.672,16.534.739,16.291.725,16.209.866,1.911.084.551,207.209.067
18.759.909,17.245.968,16.639.698,1.638.369,16.291.967,1.911.345.484,2.071.701.431
18.757.631,17.279.263,16.634.317,16.351.194,16.197.493,1.911.596.557,2.070.022.365
18.927.341,17.722.807,17.274.042,1.708.486,17.059.607,1.911.659.026,2.054.528.405
18.193.306,17.266.924,17.017.611,16.936.773,16.926.149,1.911.727.089,2.053.940.936
19.544.222,17.995.449,17.405.909,17.191.521,17.082.884,1.911.880.077,2.069.906.823
19.869.925,1.798.403,17.233.238,16.928.576,16.786.667,1.911.902.951,206.168.251
19.433.599,17.996.502,17.441.622,17.214.115,17.100.822,1.912.186.921,2.064.197.303
19.022.736,1.686.001,16.016.205,15.718.331,15.577.729,1.912.448.149,2.057.288.831
18.863.403,16.976.536,16.221.531,15.964.689,15.812.467,191.048.785,2.106.825.889
18.703.642,17.590.824,17.178.078,17.063.862,17.005.789,1.910.517.018,2.110.208.981
18.099.712,17.019.693,16.629.156,16.498.175,16.422.913,1.910.573.696,210.755.597
18.114.008,16.733.072,16.204.412,16.024.017,15.919.055,1.910.584.073,2.109.020.249
17.965.322,1.679.987,16.376.356,16.236.559,16.169.834,1.910.900.354,2.104.141.593
19.532.528,17.346.743,16.467.756,16.161.123,16.001.081,1.911.019.147,2.104.051.171
17.801.865,16.292.553,157.085,15.550.745,15.459.527,1.911.154.285,2.109.647.566
20.280.062,17.666.849,16.313.738,15.611.684,15.233.624,1.910.653.376,2.100.845.551
18.497.528,17.374.107,16.898.193,16.658.934,16.580.299,1.912.191.142,210.024.627
19.752.737,17.612.566,16.793.447,16.433.821,16.262.278,1.912.534.338,2.112.749.729
17.560.244,15.992.421,15.463.039,15.230.828,15.190.977,1.912.727.173,2.394.306.047
1.977.932,17.332.645,16.294.853,15.901.117,15.710.126,1.912.764.372,2.398.855.105
1.824.481,17.343.792,16.955.688,16.746.637,16.687.973,191.276.258,2.396.255.095
18.849.241,17.858.877,17.462.873,17.298.569,17.251.265,1.912.747.853,2.382.540.185
17.250.898,16.081.768,15.713.829,15.566.956,15.548.287,1.912.885.738,2.388.016.998
18.406.647,16.431.221,15.720.627,15.472.083,15.363.982,1.912.923.168,2.386.525.634
17.404.102,1.633.676,16.558.599,16.735.001,1.682.704,1.913.309.548,2.397.597.212
18.573.069,17.661.264,17.299.368,17.186.016,17.134.239,1.913.660.094,2.400.457.777
19.173.082,1.779.277,17.269.001,17.080.982,16.997.139,1.913.706.977,2.397.634.995
17.926.268,16.829.042,16.448.183,16.303.062,16.284.119,1.921.433.594,2.389.788.369
17.586.823,1.645.236,16.015.934,15.880.678,15.831.743,1.922.275.312,239.387.933
19.346.642,17.883.305,17.277.618,17.045.935,16.936.768,1.922.637.775,2.386.969.776
1.799.404,16.753.958,16.271.662,16.083.918,16.013.004,192.261.403,2.382.403.961
17.719.347,16.600.576,16.178.444,16.016.857,15.963.377,1.923.374.615,2.394.430.702
18.352.089,16.994.387,16.534.853,1.637.739,16.321.384,1.923.565.284,2.393.696.797
1.760.803,16.326.965,15.855.089,15.634.096,15.608.301,1.926.122.871,2.386.432.346
16.449.169,15.271.818,15.445.667,15.576.353,15.670.421,1.926.279.146,2.392.135.528
18.670.267,16.790.892,16.061.737,15.762.478,15.644.426,1.926.466.187,238.997.801
17.031.261,16.067.139,15.737.159,15.573.001,15.596.117,1.926.531.881,2.380.733.603
18.890.972,16.968.996,16.223.078,15.932.138,15.775.856,1.912.860.797,2.444.197.607
18.673.248,17.786.678,17.491.402,17.353.746,17.323.881,1.913.253.956,2.440.155.006
19.277.031,17.688.507,17.103.937,168.552,16.780.912,1.913.301.366,2.437.235.083
17.871.935,16.531.252,16.061.419,15.889.425,15.856.813,1.913.464.408,2.424.301.892
19.088.203,17.243.521,16.550.777,16.281.172,16.175.884,1.913.697.487,2.428.536.387
1.936.639,1.695.726,1.587.058,15.459.753,15.248.775,1.921.564.142,242.885.874
19.825.432,17.734.419,1.674.679,16.420.462,16.221.636,1.921.663.219,2.439.769.558
17.840.776,16.709.534,16.358.915,16.207.165,16.146.757,1.922.024.715,2.421.907.055
1.888.707,17.771.502,17.330.988,17.108.114,16.995.663,1.922.099.106,2.434.448.217
18.976.706,16.745.895,15.859.135,15.547.887,15.387.937,1.922.240.073,2.437.659.829
1.887.224,1.657.935,15.670.383,15.335.052,15.158.484,1.922.367.838,2.440.320.774
17.292.828,16.151.711,16.174.835,16.210.949,16.279.182,192.258.184,2.427.536.776
17.805.416,16.407.545,15.925.176,15.748.291,15.667.831,1.922.740.507,2.430.237.271
1.723.971,16.288.589,15.908.601,15.747.976,15.646.799,1.922.892.671,2.419.838.594
17.885.719,16.182.688,15.540.396,15.284.325,15.136.206,1.922.921.802,2.424.195.482
17.942.713,17.032.623,16.803.318,16.672.087,16.637.651,1.923.311.399,2.428.136.614
17.680.353,16.489.565,16.024.393,15.864.433,1.581.081,1.923.514.315,2.438.369.439
18.893.097,16.759.436,15.948.798,156.357,15.499.688,1.925.960.573,2.424.620.006
19.828.159,17.185.196,15.895.706,15.335.943,15.095.989,1.926.099.805,242.487.553
17.421.726,16.527.571,1.627.191,16.154.861,16.151.796,1.926.333.519,2.431.657.026
18.883.133,17.999.725,17.765.984,17.653.053,17.654.951,1.926.507.735,2.431.620.489
18.576.385,17.743.837,17.477.823,17.372.683,17.369.631,1.926.650.298,2.426.419.327
18.918.867,17.840.082,1.744.356,17.299.881,17.227.827,1.926.772.648,2.427.820.599
18.301.298,17.503.595,17.250.328,17.162.596,17.145.994,1.912.614.918,2.472.586.527
18.469.278,17.632.458,17.354.132,17.099.422,17.246.675,1.912.885.473,2.481.782.895
19.092.884,17.691.446,17.243.666,16.997.917,16.914.228,1.913.048.494,2.466.551.386
17.029.095,15.791.897,15.316.608,15.141.331,15.148.492,1.913.133.889,247.703.827
18.058.779,16.977.533,16.587.736,16.433.542,16.395.382,1.921.974.099,2.477.076.087
19.071.814,17.649.414,17.114.172,16.927.002,16.857.347,1.922.196.154,2.467.426.612
18.042.425,17.208.422,16.984.383,16.921.772,16.926.043,1.922.300.611,2.464.739.566
18.423.988,17.512.201,17.155.586,16.988.808,16.929.575,1.922.511.583,2.482.309.004
18.769.411,17.262.571,1.664.056,1.634.931,16.222.769,1.922.468.062,2.474.643.865
17.986.601,17.078.999,16.804.018,16.713.179,1.670.455,1.922.683.168,2.476.870.182
18.644.611,17.745.071,17.462.128,1.735.018,17.334.618,192.286.282,2.472.176.104
19.243.479,17.932.093,17.423.981,17.267.683,17.186.489,1.922.857.669,2.469.730.367
18.152.714,16.911.259,16.458.542,16.295.853,16.257.961,1.923.547.144,2.469.335.717
18.973.946,17.945.021,17.519.842,17.335.541,17.272.057,1.926.335.518,2.464.953.379
1.930.789,17.684.429,17.062.742,16.855.404,1.678.565,1.926.587.772,2.473.569.238
19.299.692,16.783.377,15.644.545,15.232.256,15.039.669,1.926.739.797,247.434.522
19.984.756,17.770.679,16.892.307,16.603.807,16.449.366,1.926.801.193,2.478.216.778
